"Terms searched for in same 15 second clip: (""palestinian"" OR ""gazan"" OR ""gaza"" OR ""gazans"" OR ""palestinians"" OR ""israeli"" OR ""israel"" OR ""israelis"") AND (""massacring"" OR ""massacre"" OR ""massacres"" OR ""brutal"" OR ""slaughter"" OR ""slaughters"" OR ""slaughtering"" OR ""barbaric"" OR ""savage"")",,,,,,
,,,,,,
,,,,,,
URL,MatchDateTime,Day,Station,Show,Snippet,Victim
https://archive.org/details/MSNBCW_20231018_100000_Morning_Joe#start/11175/end/11210,10/18/2023 13:06:30,10/18/2023,MSNBC,Morning Joe,"palestinians call a massacre, the explosion at the al ahli hospital in gaza city. i heard the all mighty streak followed by a large explosion. part of the ceiling of the operating room fell. reporter: bodies can be seen",N/A
https://archive.org/details/CNNW_20231018_090000_Early_Start_With_Kasie_Hunt#start/2037/end/2072,10/18/2023 9:34:12,10/18/2023,CNN,Early Start With Kasie Hunt,a heinous massacre committed by israel today against innocent and sick 1civilians. and that statement came out in the wake of this blast that came out before the evidence was,N/A
https://archive.org/details/CNNW_20231018_080000_CNN_Newsroom_Live#start/1469/end/1504,10/18/2023 8:24:44,10/18/2023,CNN,CNN Newsroom Live,"it was swift around the region. the uae, saudi arabia, egypt, iraq condemning israel. a statement from jordan's king abdullah called it a heinous massacre committed by israel",N/A
https://archive.org/details/MSNBCW_20231018_060000_The_11th_Hour_With_Stephanie_Ruhle#start/113/end/148,10/18/2023 6:02:08,10/18/2023,MSNBC,The 11th Hour With Stephanie Ruhle,blast. that has inflamed already high tensions across the region. nbc's richard engel has more. -- palestinians call it a massacre and say --  _,N/A
https://archive.org/details/CNNW_20231018_050000_CNN_Newsroom_Live#start/722/end/757,10/18/2023 5:12:17,10/18/2023,CNN,CNN Newsroom Live,"that the blast also drew condemnation from other countries including turkey, israel, and they said what was pinned on israel was a massacre and for a war crime. assuming this continues as is, i guess, how much harder will",N/A
https://archive.org/details/MSNBCW_20231018_030000_The_11th_Hour_With_Stephanie_Ruhle#start/125/end/160,10/18/2023 3:02:20,10/18/2023,MSNBC,The 11th Hour With Stephanie Ruhle,blast. that has inflamed already high tensions across the region. nbc's richard engel has more. palestinians called at a massacre and say and israeli air strike exploded at the al,N/A
https://archive.org/details/MSNBCW_20231018_000000_All_In_With_Chris_Hayes#start/3138/end/3173,10/18/2023 0:52:33,10/18/2023,MSNBC,All In With Chris Hayes,"was work with hamas, as an american-backed massacre of palestinian civilians in a pocketed territory of gaza. there have been some theorizing that the public position of the biden administration is different to a private position, which has been leaning more",N/A
https://archive.org/details/MSNBCW_20231018_000000_All_In_With_Chris_Hayes#start/1906/end/1941,10/18/2023 0:32:01,10/18/2023,MSNBC,All In With Chris Hayes,"this is a massacre. amen is the host of ayman on msnbc. he reported extensively on gaza, particularly in 2014. it has been no. obviously, this is just awful,",N/A
https://archive.org/details/CNNW_20231019_080000_CNN_Newsroom_Live#start/32286/end/32321,10/19/2023 16:58:21,10/19/2023,CNN,CNN Newsroom Live,"social media to put out an emotional plea for, as he called for hugian aid to be allowed in to gaza immediately. here is part of the post. all lives are sacred and must be protected. massacres need to stop.",N/A
https://archive.org/details/MSNBCW_20231019_160000_Andrea_Mitchell_Reports#start/3392/end/3427,10/19/2023 16:56:47,10/19/2023,MSNBC,Andrea Mitchell Reports,other hostages to be released. we don't want any other family to have their hearts shattered the way ours are. you can see more of lester's interview tonight on nbc 'nightly news'. the gaza city hospital blast is being called a massacre.,N/A
https://archive.org/details/MSNBCW_20231019_160000_Andrea_Mitchell_Reports#start/2734/end/2769,10/19/2023 16:45:49,10/19/2023,MSNBC,Andrea Mitchell Reports,"be months of brutal war. i think it certainly will be months. unfortunately, i don't see an alternative. clearly, these are decisions for israelis, not for americans. i think the way to think of it",N/A
https://archive.org/details/CNNW_20231019_080000_CNN_Newsroom_Live#start/2155/end/2190,10/19/2023 8:36:10,10/19/2023,CNN,CNN Newsroom Live,"get out. jordan's crown prince posting this instagram story, israel is spond responsible for this, quote, massacre. the western world can no longer claim morality if they continue these double standards he wrote.",N/A
https://archive.org/details/CNNW_20231019_080000_CNN_Newsroom_Live#start/2107/end/2142,10/19/2023 8:35:22,10/19/2023,CNN,CNN Newsroom Live,"israel's statements rang hollow for those watching bombs rain down on gaza and its civilian casualties rising day after day. israel's friends and goes across the region swiftly condemned what they say was a massacre, a",N/A
https://archive.org/details/MSNBCW_20231019_080000_Alex_Wagner_Tonight#start/467/end/502,10/19/2023 8:08:02,10/19/2023,MSNBC,Alex Wagner Tonight,"they said this was absolutely the israelis who launched that weapon, and they said this has long beend part of their complaint against the o israeli. they used the word genocide and a massacre. i spoke with one protester who were there at that hezbollah rally.",N/A
https://archive.org/details/MSNBCW_20231019_080000_Alex_Wagner_Tonight#start/186/end/221,10/19/2023 8:03:21,10/19/2023,MSNBC,Alex Wagner Tonight,"demonstrators rushed the israeli consulate in istanbul. they're all reacting to what palestinians call a massacre, that explosion at the hospital in gaza city. i heard an all mighty screech followed by a loud explosion.ud part of the ceiling of the operating room fell. can be seen bodies",N/A
https://archive.org/details/MSNBCW_20231019_070000_All_In_With_Chris_Hayes#start/3581/end/3616,10/19/2023 7:59:56,10/19/2023,MSNBC,All In With Chris Hayes,"biden will deliver a primetime address to the nation tomorrow night at eight pm eastern time to, quote, discuss our response to hamas terrorist attacks against israel and russia's ongoing brutal war against ukraine. i will have live special coverage of that speech right",N/A
